"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\index.css", "CSS", 0, 0, 0, 0, 34, 0, 8, 42
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Backdrop.css", "CSS", 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Backdrop.js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Card.css", "CSS", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Card.js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\ErrorModal.js", "JavaScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Modal.css", "CSS", 0, 0, 0, 0, 49, 0, 10, 59
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Modal.js", "JavaScript", 0, 44, 0, 0, 0, 0, 8, 52
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\authentication\pages\Auth.css", "CSS", 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\authentication\pages\Auth.js", "JavaScript", 0, 132, 0, 0, 0, 1, 11, 144
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\Button.css", "CSS", 0, 0, 0, 0, 55, 0, 10, 65
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\Button.js", "JavaScript", 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\FileUpload.css", "CSS", 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\FileUpload.js", "JavaScript", 0, 66, 0, 0, 0, 17, 15, 98
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\ImageUpload.css", "CSS", 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\ImageUpload.js", "JavaScript", 0, 59, 0, 0, 0, 0, 8, 67
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\Input.css", "CSS", 0, 0, 0, 0, 35, 0, 6, 41
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\Input.js", "JavaScript", 0, 75, 0, 0, 0, 1, 11, 87
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\MultiDropdown.css", "CSS", 0, 0, 0, 0, 39, 0, 7, 46
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\MultiDropdown.js", "JavaScript", 0, 139, 0, 0, 0, 14, 20, 173
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\MultiInput.css", "CSS", 0, 0, 0, 0, 35, 0, 6, 41
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\MultiInput.js", "JavaScript", 0, 105, 0, 0, 0, 4, 18, 127
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\SubmitFile.css", "CSS", 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\SubmitFile.js", "JavaScript", 0, 59, 0, 0, 0, 0, 11, 70
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\guide\Guide.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\MainHeader.css", "CSS", 0, 0, 0, 0, 26, 0, 4, 30
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\MainHeader.js", "JavaScript", 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\MainNavigation.css", "CSS", 0, 0, 0, 0, 53, 0, 10, 63
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\MainNavigation.js", "JavaScript", 0, 73, 0, 0, 0, 0, 10, 83
